"school_id","school_name","school_city_n","school_state_n","school_district_n","nominator_reason_n"
"191","Solar Preparatory School for Girls","Dallas","Texas","Dallas ISD","Solar Preparatory School for Girls at James B. Bonham is a Dallas ISD school of choice which opened in August 2016 to serve 199 scholars in kindergarten through second grade. Solar Girls serves Prek4 through eighth grade. The school focus is single-gender education for girls from diverse socioeconomic backgrounds and integrated, performance-based STEAM (Science, Technology, Engineering, Arts, and Math) instruction combined with social emotional learning. The school is designed around a STEAM instructional model designed to help foster every child’s love of science, technology, engineering, math and the arts.  The school has had leading results in the Dallas Independent School District since inception and has emerged as one of the strongest post-COVID recovery stories in the state of Texas."
"210","UCLA Community School","Los Angeles","California","Los Angeles Unified School District","UCLA Community School is an innovative K-12 learning environment that prepares all students for college, work, and civic participation. The instructional program is community-based, learner-centered, and university-assisted. Building on the strengths of the local neighborhood, the school is bilingual, bi-literate, and multi-cultural. Parents and community members are integral members of the school and their funds of knowledge help shape the instructional program. UCLA-CS personalizes learning for each student to ensure and document academic, social, and emotional growth over a student’s school career. Students have Personalized Learning Plans that build on their interests and needs, supporting them as active learners in a variety of experiences including projects, rigorous coursework, council, internships, peer tutoring, seminars, experiments, and so on"
"213","Valley New School","Appleton","Wisconsin","Appleton Area School District","Using AI in innovative ways an giving kids unprecenedented access to tech, they are a PBL lab school, low student to teacher ratio"
"215","Valor Flagship Academy","Nashville","Tennessee","Valor Collegiate Academies","The student and educator experience at Valor is anchored in the Compass model, which fosters holistic and adaptive development through a focus on community and relationships as well as individual work to understand oneself. As learners engage in the Compass Phase System and Circle, the community comes together to support themselves and each other, supporting development and growth across the Compass Habits and Disciplines. As a result, students and faculty report a strong sense of connection and community. The Compass approach is combined with a rigorous academic model, which has led to Valor students rank in the top 5% of achievement scores and top 1% of growth scores in the state of Tennessee."
"215","Valor Flagship Academy","Nashville","Tennessee","Valor Collegiate Academies","The student and educator experience at Valor is anchored in the Compass model, which fosters holistic and adaptive development through a focus on community and relationships as well as individual work to understand oneself. As learners engage in the Compass Phase System and Circle, the community comes together to support themselves and each other, supporting development and growth across the Compass Habits and Disciplines. As a result, students and faculty report a strong sense of connection and community. The Compass approach is combined with a rigorous academic model, which has led to Valor students rank in the top 5% of achievement scores and top 1% of growth scores in the state of Tennessee."
"216","Valor Voyager Academy","Nashville","Tennessee","Valor Collegiate","The student and educator experience at Valor is anchored in a human development framework called Compass. It helps young people and adults strengthen the habits, mindsets, and values they need to navigate life with purpose. Rather than treating academics and personal growth as separate, Compass integrates them. Students build intellectual curiosity and academic skills while also developing clarity about their values, empathy in relationships, and sense of how their individual gifts can serve their community.  "
"237","ACE Leadership High School","Albuquerque","New Mexico","Albuquerque","ACE partners with leaders in New Mexico’s architecture, construction, and engineering industries to set students up to get ahead in a changing world. They offer both day and evening programs to ensure that every student — whether returning to school after an absence, raising a family, or holding down a job — has the individualized support they need to succeed."
"281","Health Leadership High School","Albuquerque","New Mexico",NA,"Prepares students for careers in healthcare through experiential learning. Also broadens students' understanding of social determinants of health. This was the first high school in NM to have a class of students complete Community Health Worker dual credit certificates with their partner, Central New Mexico Community College."
"291","International High School at Langley Park","Bladensburg","Maryland","Prince George's County Public Schools","IHSLP is a competency-based learning model designed specifically for multilingual learners with a strength in school culture and social-emotional learning, advisory in particular. The instructional model serves multilingual learners with mastery projects, peer collaboration, common instructional strategies across all teachers/grades/subject areas, and language skills embedded in all courses."
"323","Northeast Academy for Aerospace and Advanced Technologies","Elizabeth City","North Carolina",NA,"Numerous college, university, and business partners to offer learning opportunities and connections for students. Pathways to both college and high paying, high demand careers close to home in the fields of Aviation, Comp Science, Health Sciences, and Advanced manufacturing."
"323","Northeast Academy for Aerospace and Advanced Technologies","Elizabeth","North Carolina",NA,"NEAAAT is an innovative regional public school that equips students with STEM-focused skills through authentic, project-based learning and pathway options in aviation science, computer science, and health science, with opportunities to earn certifications and take honors-level courses. As students progress, they may enroll in college courses through Elizabeth City State University or the College of the Albemarle, and they further develop career readiness through internships and community service."
"360","The Center for Advanced Research and Technology (CART)","Clovis","California",NA,"CART lets juniors and seniors dive into real-world, project-based learning through more than a dozen specialized labs — from biotechnology to digital media to engineering — giving them hands-on, career-focused experience long before college. Plus, with its industry partnerships and the chance to earn college-prep credits and build a strong portfolio, CART turns high school into a launchpad for meaningful, future-ready careers."
"386","""""School of Industrial Design, Engineering and Art""""","Tacoma","Washington",NA,"The school's curriculum is designed to integrate the arts, science, and math, providing students with a unique and interdisciplinary educational experience. The school's community is made up of high school students, non-profits, professional organizations, and for-profit businesses of all sizes. iDEA's goal is to form a collaborative learning environment where partners can work alongside students in design-and-build studios, forming public to private partnerships and giving both students and teachers access to professional opportunities. The school's curriculum aligns with common core standards in math, science, English, and social studies and follows the gold-standard project-based learning framework outlined by the Buck Institute. iDEA students learn through projects, with teachers acting more like guides for students, posing challenging questions and working to embed learning targets within the context of student-driven, real-world projects. The school's emphasis on collaboration, real-world projects, and professional opportunities makes it a unique and student-centered learning environment."
"386","""""School of Industrial Design, Engineering and Art""""","Tacoma","Washington","Tacoma Public Schools","IDEA's focus areas include industrial design, engineering, and art, with opportunities to gain career-specific expertise in areas like robotics, game design, green architecture, animation, and music production. Instruction is organized around project-based learning where students create tangible and sometimes functional products. IDEA’s teachers function more as guides or coaches and assessment places more emphasis on the learning process, prototyping, and growth over time than on grades."
"408","Alta Vista Innovation High","San Bernardino","California",NA,"Alta Vista Innovation High School offers a highly personalized model where flexible scheduling and one-on-one instruction ensure each student’s journey is tailored. It integrates strong workforce readiness with academics—teaching real-world skills like financial literacy, entrepreneurship, and connecting students via community and industry partnerships. From day one through graduation students are supported to set clear post-secondary goals—whether college, career or training—and built up with the tools, mentorship and experiences to meet them."
"415","Yu Ming Charter School","Oakland","California","Yu Ming","Yu Ming provides full Mandarin immersion for every child. Yu Ming’s approach rests on four pillars: academic excellence, Mandarin immersion, whole-child education, and a deliberately diverse, inclusive community.
Yu Ming operates four campuses and consistently ranks among the top 1% of elementary and middle schools in California for Black and Latino students, English learners, students with disabilities, and economically disadvantaged students."
"417","Grant Beacon Middle School","Denver","Colorado","Denver Public Schools","The school is tapping into students’ passions and showing what opportunities are possible through its extended enrichment program for all students such a pilot program, while also making sure our most marginalized students have what they need to grow academically and engage with the community in the most authentic ways."
"418","Kepner Beacon Middle School","Denver","Colorado","Denver Public Schools","The school is tapping into students’ passions and showing what opportunities are possible through its extended enrichment program for all students such a pilot program, while also making sure our most marginalized students have what they need to grow academically and engage with the community in the most authentic ways."
"422","Inspired Teaching Demonstration Public Charter School","Washington, DC","District of Columbia",NA,"At the Inspired Teaching Demonstration Public Charter School, a professional learning community of master teachers and teacher residents ensures that a diverse group of students achieve their potential as accomplished learners, thoughtful citizens, and imaginative and inquisitive problem solvers through a demanding, inquiry-based curriculum. 

The standards-based curriculum and student goals are centered on the 4 I’s: 
Intellect
Inquiry
Imagination
Integrity

Inspired Teaching is an active member of Diverse Charter Schools Coalition."
"433","The Urban Assembly School for Green Careers","New York City","New York",NA,"The Urban Assembly School for Green Careers recognizes that overcoming our planet's environmental challenges is the biggest task facing the world today. We understand that as our economy becomes more green, many of the future's most promising careers will focus on solving the challenges of environmental injustice, and in ensuring equitable access to quality living and resources for all citizens. Our students will only be able to activate this mission if they are equipped with collaborative problem-solving and reasoning skills, empathy and awareness of how to interrupt injustice, and the knowledge of green industries and environmental issues. Therefore, we are committed to being a learning community dedicated to personal and community empowerment, college and career-readiness, and equity and access to and for our students, families and staff."
"433","The Urban Assembly School for Green Careers","New York City","New York",NA,"Students at UA School for Green Careers act, write, and build to confront the challenges to human rights created by climate change. Through Cooperative Group Work, all students engage in peer-to-peer dialogue that supports critical thinking skills. Through 1:1 Conferences with Teachers, students receive personalized attention, feedback, and develop independent problem-solving skills through conferences facilitated by their teachers. And, through Peer-to-Peer Supports, students develop critical thinking and reason-giving skills."
"434","""""Urban Assembly Charter School for Computer Science (d/b/a """"""""Comp Sci High"""""""")""""","Bronx","New York","Comp Sci High","Comp Sci High is a 9-12 charter high school in the Bronx that is guided by one central question: What would it take to achieve lasting economic freedom for every single student who walks through our doors? Comp Sci High hold themselves accountable to that mission by equipping every graduate with the skills, sense of purpose, and network of support required to secure a fulfilling career and earn at least the national median income by age 25 (projected at $97,000 for the founding class of 2029). To make this possible, Comp Sci High goes beyond traditional academics. Students engage in: work-based learning education, real-world work experience, and sustained relationships and support"
"443","Rooted School Indianapolis","Indianapolis","Indiana","Rooted School Indianapolis","Rooted School Indy is a free public charter school serving Grades 7-12, located at Eastern Star Church in partnership with The ROCK Initiative. This partnership is designed to expand high-quality school options located on or in proximity to the Eastern Star Church Campus. Rooted School Indianapolis exists to provide students personal pathways to financial freedom. We teach our students how to learn in an ever-changing world, develop their skills in the most in-demand job sectors and create technology that is transformational."
"456","High School for the Recording Arts","St. Paul","Minnesota",NA,"HSRA empowers students to take ownership of their learning, blends academics with meaningful real-life experience, emphasizes individual growth, and supports post-secondary readiness—all of which make the learning environment more engaging, effective and empowering."
"456","High School for the Recording Arts","St. Paul","Minnesota",NA,"HSRA is a long-standing career connected learning school with a focus on an industry that has deep roots in the Twin Cities. The schools is """"dedicated to providing all young people a chance to realize their full potential, despite any previous setbacks."""""
"468","Da Vinci Communications","El Segundo","California",NA,"DaVinci Schools take a completely student-centered approach across all of their models, both on-campus and hybrid. Learning is purposeful, experiential, rigorous, and engaging. They have developed a strong community within each school, supported by deep relationships among students and teachers alike. They have a tremendous learning mentality -- they are ceaselessly seeking to improve, when already they provide a learning and developmental experience to kids that should be a model for the entire nation."
"470","Da Vinci Design","El Segundo","California","Wiseburn Unified School District","Da Vinci Design reimagines education through authentic, purpose-driven learning. Students engage in real industry partnerships—designing medical devices with healthcare companies, creating brands for nonprofits, pitching business ventures to venture capitalists. Learning happens through meaningful projects with genuine audiences and consequences, not simulated experiences.
The school's mastery-based approach replaces traditional grading with demonstration of growth over time, creating a culture where initial struggles become stepping stones rather than permanent judgments. Four career pathways (Architecture, Graphic Design, Entrepreneurship, Fine Arts) provide structured choice, allowing students to explore before specializing. Every student presents their learning publicly—to parents, professionals, and community members—developing communication confidence from day one. This transforms school from a place where learning is evaluated into one where it's celebrated and applied."
"470","Da Vinci Design","El Segundo","California",NA,"DaVinci Schools take a completely student-centered approach across all of their models, both on-campus and hybrid. Learning is purposeful, experiential, rigorous, and engaging. They have developed a strong community within each school, supported by deep relationships among students and teachers alike. They have a tremendous learning mentality -- they are ceaselessly seeking to improve, when already they provide a learning and developmental experience to kids that should be a model for the entire nation."
"473","Winooski Middle High School","Winooski","Vermont","Winooski School District","Winooski Middle and High School reflects and celebrates the diversity of backgrounds and experiences of its students and families, supporting a community with a long history of welcoming newcomers to the United States. Three core focus areas—collaborative, student-centered, and relevant—describe the instructional practices that are at the heart of student engagement and educational equity for the school, seen for example through iLab, advisory, and flexible pathways. The Winooski Graduate Expectations (GXs) are six broad transferable skill areas: Communication, Culture & Community, Critical Thinking, Creativity, Persistence, and Wellbeing. The GX’s are assessed through performance assessments and are evaluated by a team of teachers during Expo, student exhibitions of learning held in January and June that are open to parents and others. Winooski Middle and High School is a community school offering health services, a food pantry, and more to support the overall wellbeing and academic success of students and their families."
"474","EdVisions Off Campus School","Statewide","Minnesota",NA,"EdVisions Off Campus (EOC) is a fully online, project-based, teacher-powered secondary school that reimagines learning by giving students true ownership over their education. Each learner works closely with an advisor, meeting multiple times a week to set goals, plan projects, and track progress. Students design and complete in-depth, personalized projects that reflect their interests, passions, and future aspirations, allowing them to learn core academic skills through meaningful, self-directed work. This flexible model helps students develop essential competencies such as time management, self-motivation, and critical thinking, while preparing them for college, careers, and life beyond high school."
"499","Village High School","Colorado Springs","Colorado","Academy District 20","Village High School in Academy District 20 functions like a workplace, providing students with customized learning opportunities and the agency to direct their own learning. The school’s unique hybrid learning model combines online, competency-based core classes that students complete at their own pace with in-person elective courses, such as international foods, bioethics, and sports science. Students are able to ask for and design electives that align with their interests, and upperclassmen have opportunities for career exploration and internships. 

Students create their own schedules and are on campus Monday through Thursday for four hours each day, using this time for electives, lunch, personal learning, and office hours. Select Fridays throughout the year provide additional time for students to get help from staff on academics and broader needs. This flexible, personalized approach enables students to take control of their learning while pursuing passions outside of academics, such as sports, music, theater, and other community activities.

At the heart of the Village model is a culture of high expectations and rigor, paired with student-centered care. The model emphasizes meaningful teacher-student interaction through small class sizes and dedicated office hours, where educators provide feedback and offer support in person, over the phone, or via text. These practices reflect a deep belief in each student’s ability to succeed, helping them internalize that they can master challenging academic content while pursuing their passions. Additionally, the college-like, workplace environment—where students are on a first-name basis with staff, and attendance is not formally taken—treats students with the respect and autonomy adolescents need to thrive. This environment fosters an ownership mindset, builds time management skills, and encourages healthy habits that prepare students for future careers and life beyond school."
"508","ARISE High","Oakland","California",NA,"ARISE high school empowers students to become critically conscious warrior intellectuals. They align academic, behavioral, and social-emotional approaches to ensure students and their families are provided integrated and responsive interventions attuned to their specific needs."
"510","Creativity Challenge Community","Denver","Colorado","Denver Public Schools","Throughout the year C3 engages deeply with community partners to support learning and to engage learners in interesting challenges and opportunities."
"510","Creativity Challenge Community","Denver","Colorado",NA,"Learning is hands-on: either in the community via many community partnerships or in-school via project-based learning in teams called Curiosity Crews. Partnerships include those with families and cultural organizations to promote cultural responsiveness. C3 was designed with the community of the School Choice program to democratize enrollment."
"515","St. Paul School of Northern Lights","St. Paul","Minnesota",NA,"What stands out most about St. Paul School of Northern Lights is how seamlessly its special rights inclusive model and Reggio Emilia approach work together to create a truly child-centered learning environment. Students with special rights are full members of the classroom community, with teachers co-teaching and collaboratively supporting all students in the general education classroom. At the same time, the school’s Reggio Emilia framework places students’ curiosity, interests, and relationships at the center of learning. Children are encouraged to explore their environment, investigate real questions, and shape their own learning journeys. Together, these approaches reimagine what school can be: a place where every child is valued, where learning grows from exploration and collaboration, and where differences enrich the community. It’s an environment that is engaging, inclusive, and genuinely empowering for all students."
"523","Elevate Academy Caldwell","Caldwell","Idaho","Elevate Academy Network","Elevate Academy offers industry trades such as Medical Arts, Criminal Justice, and Business/Marketing. The expectation at Elevate Academy is for all students to earn two Industry Certificates. Elevate has multiple other campuses as well."
"524","Slope School","Provo","Utah",NA,"Slope School emphasizes skills, character, and self-direction. They frame education around real world work, curiosity, perseverance, and personal growth. The school encourages each learner to discover their unique gifts and apply them meaningfully in the world — treating education as preparation for life purpose, not just academic credentials. From day one, students are invited to view themselves as potential changemakers, working on real problems and projects that matter."
"541","Clark Street Community School","Middleton","Wisconsin","Middleton-Cross Plains Area School District","Clark Street Community School was founded by local educators, community members, students, and families interested in developing a school for educational innovation within their district. It was started to serve students who needed an alternative to traditional high school, particularly those with diverse academic, social, and emotional needs, including a significant population on the autism spectrum. What makes it distinctive is its multi-age structure without traditional grade levels (freshmen through seniors), its fully inclusive special education model with team-teaching, and its cross-aged thematic seminars developed from student interests and linked with community partners. Students have significant agency through competency-based assessments using rubrics, portfolios, and public demonstrations of learning rather than traditional grades, and they can approach learning at their own pace with flexible graduation timelines."
"587","Asu Preparatory Academy Digital","Tempe","Arizona","ASU Preparatory Academy Network","Featured in CRPE Early Adopters AI research. Offers a range of models from on-site to hybrid to totally online and everywhere in between.. Using AI in innovative ways. Personalized and project-based. Learners take several ASU college courses at no cost."
"607","La Luz","Denver","Colorado",NA,"La Luz's model is deeply embedded in community. They partner with organizations for extended learning experience spending 2-3 days/week learning in that partnership, often co-locating on that partner's site during the project. Through this students gain valuable experience with a variety of types of issues and people and do work that really matters in community. "
"623","Dallas Hybrid Preparatory at Stephen J. Hay","Dallas","Texas","Dallas Independent School District","Dallas Hybrid is a grade 3-8 school and the first public hybrid school in Texas. The school provides virtual learning three times a week and students come to campus twice a week for in-person learning.  Since 2021, the school has had an average of 67% proficiency in ELA and 50% in Math, and has improved  performance by 24 pts in ELA and  22 pts in Math. The school personalizes learning pathways to help students achieve mastery. "
"624","La Promesa","Houston","Texas","Aldine Independent School District","In Houston’s Aldine Independent School District, about 800 students new to the country enroll in middle and high school each year, and their dropout rate was once projected to reach 50 percent by 2027. La Promesa – “The Promise” in Spanish – is an innovative high school created to change that trajectory, with a pledge that every student will graduate and reclassify as a former English learner.

Unlike typical Texas models that shuffle English learners once they reach proficiency, La Promesa maintains cohorts together through graduation, providing continuity as students navigate academic challenges and a new culture. The school rejects false choices between English acquisition and academic rigor, cultural preservation and U.S. integration, or education and work. Instead, it maintains high academic expectations, celebrates students’ multilingual assets, and prepares them for college and careers while honoring family economic realities."
"643","DeKalb Brilliance Academy","Decatur","Georgia",NA,"DeKalb Brilliance Academy is a free K–4 public charter school (growing to K–8) that pairs rigorous academics with career-connected, project-based learning supported by real professionals in fields like science, engineering, medicine, and entrepreneurship. Through hands-on, community-rooted projects that build problem-solving, collaboration, and leadership skills, students learn how their brilliance can shape their futures and create meaningful change in South DeKalb."
"650","Hamilton High School","Hamilton","Michigan","Hamilton Community Schools","Hamilton has a Work Based Learning (WBL) Graduation Requirement. Students in grades 5-10 have required WBL activities they must participate in. In high school, they engage in awareness and exploration activities, and must complete three preparation and/or training tasks to graduate. 

They have a detailed, interactive list of all the Work Based Learning opportunities for Hamilton Community Schools students. CTE, skilled trades, military prep programs, high school courses, CDL acquisition, and more are experiences available to students."
"656","Lucama Elementary","Lucama","North Carolina","Wilson County Schools","Lucama Elementary and its district are part of the national Opportunity Culture initiative, in which schools extend the reach of excellent teachers and their teams to many more students, for more pay, within regular budgets. 
The school has achieved high-growth learning results for its students, moving from a C letter grade from the state in 2017 to an A in 2025, and it received Certified Opportunity Culture® School status, Level 2, signifying a focus on student access to instruction led by Multi-Classroom Leader® teaching teams and incorporation of small-group, high-dosage tutoring into daily schedules. 
The foundation of the Opportunity Culture model is the Multi-Classroom Leader role, an excellent teacher who leads a small teaching team, providing instructional guidance and frequent, on-the-job development, while continuing to teach part of the time. The school uses this and other teacher and paraprofessional team roles to reach more students with excellent teaching.
"
"663","Global Citizens Public Charter School","Washington","District of Columbia","Global Citizens Public Charter School","Global Citizens School is the first dual-language immersion elementary school in Washington, DC, to offer language immersion in both Mandarin Chinese and Spanish pathways - exposing students to the top three languages spoken in the world.

Paired with a focus on social justice and whole child wellness, Global Citizens School equip children to become empathetic, globally competent, and socially-minded leaders who are prepared for a future we cannot yet imagine.

They are located in Ward 7 and dedicated to providing equitable access to dual language immersion programs to children and their families living east of the Anacostia River."
"685","Innovation Lab High School","Bothell","Washington","Northshore School District","Innovation Lab High School’s approach is intentional in its effort to build a cohesive equity stance while simultaneously designing learning systems that truly reflect its values. As an alternative school engaged in mastery-based learning and culturally responsive sustaining education, Innovation Lab is not just refining traditional structures, it is thoughtfully constructing new ones that center students’ identities, strengths, and voices. The school is actively building and piloting new systems that align with mastery-based learning, allowing students to demonstrate mastery in meaningful ways and progress based on readiness rather than seat time. This capacity-building mindset highlights Innovation Lab’s willingness to learn, iterate, and evolve as it creates more inclusive and effective learning environments."
"691","Aventura Community School","Nashville","Tennessee",NA,"Aventure elevates peace and justice by inspiring our diverse community to live as curious global citizens dedicated to changing the world.

Aventura is an active member of Diverse Charter Schools Coalition."
"706","Discovery Early College High School","Springfield","Massachusetts",NA,"This school creates a learning environment that is engaging, effective, and empowering for all students."
"726","Rise STEM Academy for Girls","Lexington","Kentucky","Fayette County Public Schools","Fayette County Public Schools launched the Rise STEM Academy for Girls in 2020-21 because district leaders are confident that supporting girls in science, technology, engineering, and math in their formative years will build their confidence to more eagerly embrace these career pathways."
"728","Seckinger High School","Buford","Georgia","Gwinnett County Public Schools","Seckinger High School is an AI-themed high school where students can pursue three-year AI career pathways and where AI is embedded across the curriculum, supported by AI-specific learning standards that extend through its feeder schools. Coursework is tied to real-world careers and applications, with connections to local industry and higher ed partners."
"742","Elevate Academy Nampa",NA,NA,NA,"This school creates a learning environment that is engaging, effective, and empowering for all students."
"744","LEAD Charter School","Newark","New Jersey","Newark Opportunity Youth Network (OYN)","LEAD programming develops young people (particularly opportunity youth) who are dedicated to rebuilding and improving the quality of life in their community through collective work, responsibility and cooperative economics.
LEAD’s key design elements support the unique academic and non-academic needs of students who have disengaged from traditional schooling. LEAD’s innovative model re-engages young people via active participation in rigorous and relevant content and standards-driven, competency-based instruction aligned with emerging market demands. Through applied learning opportunities with partner organizations and corporations, LEAD prepares students to compete in the local economy and/or transition to post-secondary education."
"747","Nowell Academy","Providence","Rhode Island","Sheila Skip Nowell Leadership Academy","Interpersonal relationships (Primary Person Model), SEL focus (restorative justice circles), CTE pathways, and meeting preganant and parenting students needs through an on campus day care, uber rides, a store providing essentials, etc. "
"748","Zeta Inwood","New York","New York","Zeta Public Schools","Zeta Inwood currently serves over 650 students and consistently outperforms local peers: during the 2022-23 school year, 87% of students scored at or above grade level in math and 76% exceeded standards in ELA. This campus is part of a network that serves the Bronx and Northern Manhattan, offering an innovative, whole-child approach to learning, and preparing children for true participation and leadership in a modern economy. In addition, the network has created Z Combinator, a selective, seven-month fellowship program to support new school leaders during their planning years with the tools, resources, and knowledge they need to launch strong schools."
"750","Liberty STEAM Charter School","Sumter","South Carolina",NA,"K-12 STEAM programming with developmentally appropriate project based learning and leadership development."
"751","Maritime High School","Burien","Washington","Highline Public Schools","Maritime’s work to build and live out an equity stance shows a school deeply committed to creating environments where every student feels a strong sense of belonging, relevance, and possibility. Their capacity-building efforts—particularly around mastery-based learning and culturally responsive sustaining education—have grown into coherent, schoolwide practices that support personalized pathways and empower students to take ownership of their learning. This evolution reflects a powerful dedication to reimagining what learning can be when equity and student-centered design are at the core."
"766","Purdue Polytechnic High School - Broad Ripple","Indianapolis","Indiana",NA,"This school creates a learning environment that is engaging, effective, and empowering for all students."
"786","The New School of San Francisco","San Francisco","California","New School of San Francisco","At New School San Francisco, learning starts with curiosity. The school believes that when students explore meaningful questions and make connections across subjects and across lines of difference, they achieve at high levels and grow as thinkers, creators, and community members. 

Located in San Francisco’s North Beach neighborhood, New School San Francisco serves grades TK-8 through a model that combines academic rigor with inquiry and personalization. Students help generate and investigate big questions that drive their learning across disciplines, integrating academic standards, critical thinking, collaboration, and real-world application. "
