Nomination ID,SurveyName,Official School Name,District or CMO,School City,School State,Reason for nominating,Canopy School ID,CanopyID (from Official School Name),Portal Publicly disclosable nominator org
Nominator_2024-10_Center on Reinventing Public Education_,Nominator_2024-10,,District 11,Colorado Springs,CO,Unique program embedded in local higher education and industry pathways. ,,,Center on Reinventing Public Education
Nominator_2024-10_Center on Reinventing Public Education_,Nominator_2024-10,,Flagstaff Unified School District,Flagstaff,Arizona,"This magnet school provides bilingual education programs for three languages - English, Spanish, and Navajo - honoring and revitalizing students' native languages, including revitalization. In addition to reflecting the local community through K-5 linguistic and cultural immersion, the school is expanding to include an IB program for upper grade levels. ",,,Center on Reinventing Public Education
Nominator_2022-11_Education Counsel_,Nominator_2022-11,,This program is a public and partnership with the Virginia Beach Public Schools and the Chesapeake Bay Foundation.,Virginia Beach,Virginia,"The Virginia Beach City Public School’s Environmental Studies Program at the Chesapeake Bay Foundation’s Brock Environmental Center is on the forefront of reimagining the structures of high school through student empowerment and giving students a voice in the community. This facility, where 11th and 12th grade students come to learn every day, is located in the middle of a free public park called Pleasure House Point Natural Area. The 118 acre park is a living laboratory for learning, and it is as much of a classroom space for the students as the actual building they learn in. The building in the park where students attend classes is on the Lynnhaven River at the mouth of the Chesapeake Bay, and it is not a school building. Instead, students attend classes at the regional headquarters of the Chesapeake Bay Foundation. All students, while at the CBF Brock Environmental Center, are learning in the tenth living building in the world. Students not only get to work with teachers but also get to work directly with members of the Chesapeake Bay Foundation, whose inclusive efforts connect students to real-world, relevant work spanning 6 states and the District of Columbia. 
 The Virginia Beach City Public School’s Environmental Studies Program helps students connect their passions to career paths through personalized internships. The internships, a critical component of the program, connect students with community partners to gain career experience; showcasing the vibrant expanse of organizations connected to science and sustainability in our community. Environmental architectural design, fisheries ecology, horticultural studies, audio engineering, forestry and water impoundment studies, outdoor education, environmental policy, eco tourism, and solar installation contracting; this range of internship opportunities cultivates passion and career advancement. This program puts students at the helm using science and sustainability to solve tomorrow's problems today.",,,Anonymous
Nominator_2020-11_Education Resources Consortium_,Nominator_2020-11,,SAU 36 - White Mts regional School District,Whitefield,New Hampshire,"Eager and energetic. Implementing an Inquiry Tool Kit, interdisciplinary projects and classes, pursuing new alternatives to transitional structures and practices. Beyond ""PBL"", ""competencies"" and ""blended learning""",,,Education Resources Consortium
Nominator_2024-10_Elements of Education_,Nominator_2024-10,,Tacoma Public Schools,Tacoma,Washington,"SAMI uses a strong mentorship program and an intensive MTSS model to ensure that every student is connected to at least one caring adult that is responsible for holding them accountable, providing access to educational resources, and is on track to pursue their interests and passions after high school. Particular attention is paid to at-risk populations such as students experiencing homelessness, students from groups who have traditionally been excluded from STEM careers, and for students from low-income households. SAMI believes that by working tirelessly to bring any student who is interested in math and science into the field and providing them with the supports that they need, they are creating a more diverse group of students in STEM and the natural sciences after high school. ",,,Elements of Education
Nominator_2020-11_Fielding International_,Nominator_2020-11,,N/A,Blufton,South Carolina,"Over the past four years, Hilton Head Christian Academy has partnered with Fielding International to design, develop, and deliver the best combination of educational spaces aligned to innovative learning strategies, as the school transitions from traditional teaching methodologies to project- and inquiry-based, experiential learning practices.  During the building development phase, the design team worked closely with regional architects to blend Hilton Head�s natural environment and school culture into structural realities as they transition off Hilton Head Island and read a larger more diverse demographic in Blufton. A large investment into on-site exposure and training aided the entire school community in understanding the value of open-design concepts, why seating and learning communities need to be flexible and serve multiple purposes, and how to maximize authentic learning opportunities within and around the physical building.  Consistent reviews of best practices and local regulations mirrored the academic process underlying the pedagogical shift and engaged a multitude of stakeholders (families, faculty, community, alumni, and students) in the design process.  Increased student voice and agency in the means by which learning can happen manifest a more interactive approach to learning at school; even under the current, physically-distanced limitations, the pillars for collaborative, creative, and authentic learning communities have been placed.    Through the introduction of pathfinders to practice new learning spaces, hands-on professional developments to craft projects and integrate inquiry, and a wide variety of curricular resources to orient thought, HHCA is now equipped to effectively lead the advancement of education in the state and across the Southeast.  Fielding International�s partnership in this endeavor has placed HHCA in a position to meet its internal goals and exceed its original external expectations.  From flex-mod scheduling to scaffolded authentic challenges to learning suites that house multi-grade instruction and competency-based, cross-curricular, core content classes, the growth is immeasurable.  These aspects are now commonalities to students, faculty, and families.   ",,,Fielding International
Nominator_2023-11_Getting Smart_,Nominator_2023-11,,ASU,Tempe,Arizona,"This microschool model merges high school education with real-world industry experience, enabling students to learn in an authentic professional environment. Students will engage in project-based learning, collaborate with industry experts, and develop 21st-century skills while earning high school and college credits. These microschools are hybrid in nature, combining on-campus and online learning components, and they are built on the foundation of project-based learning (PBL). Providing students with hands-on learning opportunities and a direct pathway into their chosen industries. ",,,Getting Smart
Nominator_2024-10_Getting Smart_,Nominator_2024-10,,," Liberty City, Coconut Grove, Kendall, Fort Lauderdale, Jacksonvillen ( Scottsdale and Tempe in AZ)",Florida,"Primer’s goal is simple: help the next generation of kids be more ambitious, more creative, and learn to think for themselves. To do that, we’re creating a new education system — one that takes kids seriously. At Primer, students learn at their own pace, pursue their passions, and get the support they deserve every day. Primer was started because standard schools can’t possibly make space for every kid’s curiosities. But a small school connected to a big network can. Here, the goal isn’t to teach you everything under the sun—it’s actually the opposite. They go deep on whatever it is that drives you.",,,Getting Smart
Nominator_2021-12_Institute for Personalized Learning_,Nominator_2021-12,,Pattonville,Pattonville,Missouri,"They are working to bring Personalized, Competency-Based Education to scale in the entire district. Currently have multiple pockets of innovation and environments. ",,,Institute for Personalized Learning
Nominator_2023-11_Mastery Transcript Consortium_,Nominator_2023-11,,,Andover,MA,This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates.,,,Mastery Transcript Consortium
Nominator_2023-11_Mastery Transcript Consortium_,Nominator_2023-11,,,Holyoke,MA,This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates.,,,Mastery Transcript Consortium
Nominator_2021-12_MiCoOp_,Nominator_2021-12,,Bangor Public Schools,Bangor,Michigan,"In 2019, four Bangor teachers were trained in project-based learning (PBL). These three high school teachers and one middle school teacher not only provide personalized learning for their students on a regular basis but are also a PBL resource for other teachers in the district. This proved beneficial when the district implemented a Project Term at the end of the 2020-21 school year. 

To develop the five-week Project Term schedule, teachers first created a list of potential offerings. Then students “voted” on their top choices, ending with a schedule that would fulfill student needs and wants. Ending the year in this manner motivated both staff and students who had voice and choice for what they wanted to teach or learn. Courses were multi-grade (e.g., 6-8, 9-12) instead of grade level (e.g., 6th ELA), were outcome-based (credit or no credit) rather than standards-based which is used in regular terms, and were nontraditional in the way content was covered. A block format was used so students had longer class periods to work on projects. Because this inaugural Project Term was during COVID, some students chose to complete their courses from home so teachers had fewer students in their classrooms and taught the rest of the class virtually. Students who successfully completed their core courses were able to choose a full schedule of elective classes. 

In addition to credit recovery courses, some courses offered during Project Term included Creating a Personal Budget, Photo Journalism, Fly Fishing, Kitchen Chemistry, Basic Reading and Writing, Art of War: Chess, and ESL Story Tellers. They plan to have Project Term again at the end of 2021-22. By reimagining what ""school"" can look like during Project Term, the staff and students are beginning to see how they can change their school structure to include more PBL throughout the year. ",,,MiCoOp
Nominator_2021-12_MiCoOp_,Nominator_2021-12,,Oxford Community Schools,Oxford,Michigan,"Students in the DP Diploma Programme become lifelong learners as they learn to be critical and compassionate thinkers. In the program, students reflect on the question “How do we know?”, write a 4,000-word independent essay paper, and complete a creativity, activity, or service project. Each student prepares a portfolio of their work. This two-year, comprehensive curriculum culminates with an IB Diploma which is recognized by colleges and universities around the world.

All Oxford students are part of the district's IB program from PreK through 10th grade. Oxford's IB Diploma Programme is an option for students in 11th and 12th grade who want to continue with the IB program. (The district has three other high school pathways.) 

The outcome of the program is that students become more internationally minded, take action, and become better leaders and learners. At the elementary schools, fifth-grade students take action through a three-month, collaborative research project, and middle school students take action through a personal project. When visiting the district and talking with their high school students, it is apparent how the IB program is impacting their learning and growth. No matter which pathway the students were in, they were very articulate in answering questions, talked easily to adults, knew their purpose, and had a plan for the next steps in their lives. ",,,MiCoOp
Nominator_2022-11_MiCoOp_,Nominator_2022-11,,Niles Community Schools,Niles,Michigan,"This program is open to 9th and 10th graders at Niles Community Schools. Student groups work on projects with professionals in the industry. They have co-teachers who facilitate their learning, allowing students to receive credit it multiple subjects. Through an entrepreneurial lens, students master technical and 21st century skills because they are active participants in solving a problem. As a past CTE teacher, I was very excited to see the students in action as they worked with a nonprofit in the community.",,,MiCoOp
Nominator_2023-11_New Tech Network_,Nominator_2023-11,,Winton Woods City School District, Cincinnati ,Ohio,"
Ninety percent of New Tech Network schools operate within traditionally structured public school districts. In 2011, starting with the Academy of Global Studies with a diverse student population of 3,800, the Winton Woods  School District leadership transformed its pedagogical approach through the implementation of the New Tech Network whole-school  model of transformation across the entire district by the 2018-19 school year. Since then, PBL has been adopted at all grade levels, making Winton Woods the first school district in the country to embrace PBL from preschool through twelfth grade. As part of Ohio's state biennial budget, Straight A Fund intentionally awarded the District, scaling quickly more customized, personalized learning experiences that meet their students’ diverse instructional needs. 
",,,New Tech Network
Nominator_2020-11_NewSchools Venture Fund_,Nominator_2020-11,,Future Public School - single site LEA ,Garden City,Idaho,"We aspire to be a proof point, inclusive school model, that sets a high bar for academic achievement, with an intentional focus on social-emotional learning, and integration of identity/justice/action/diversity across our curriculum and school culture. We seek to be a community of joy and kind hearts!   In our inclusive school model, we serve a population of English Language Learners that span a multitude of languages (18%), as well as a high population of special education students, primarily those with emotional and behavioral needs (15%). ",,,Anonymous
Nominator_2022-11_NewSchools Venture Fund_,Nominator_2022-11,,Charlotte Lab Schools,Charlotte,North Carolina,"Diverse by design, Charlotte Lab School uses the community as our classroom to provide personalized, engaging, and authentic learning experiences designed to prepare students for lifelong wellness and success in college and a global workplace.  
",,,NewSchools Venture Fund
Nominator_2022-11_NewSchools Venture Fund_,Nominator_2022-11,,The New School of San Francisco,San Francisco,California,New School San Francsico is provides an equitable and inquiry based educated in an diverse-by-design and anti-racist environment. ,,,NewSchools Venture Fund
Nominator_2022-11_NewSchools Venture Fund_,Nominator_2022-11,,LEAD Charter Schools,Newark,New Jersey,"Lead Charter School's model is grounded in the unwavering belief in the power of young people to transform their lives and the community. Our model is developed and delivered by practitioners of research-based youth development practices and systems that ensure a tailored, personalized, strengths-based learning experience, grounded in the advocacy of Opportunity Youth. Our model contains five interconnected core components:
1. Education
2. Construction PLUS
3. Counseling and Counseling Management
4. Leadership Development
5. Graduate Success",,,NewSchools Venture Fund
Nominator_2022-11_NewSchools Venture Fund_,Nominator_2022-11,,Kairos Academies,St. Louis,Missouri,"At Kairos, we believe now is the opportune moment to rethink public education. That's why we replace lectures with engaging projects and dictatorial ""behavior managers"" with 1-1 executive functioning coaches who help students learn how to manage their own schedule and work habits. Kairos students practice navigating real-world choices (such as when, where, how, and with whom to work) within a safe, supportive school environment. Kairos develops students not just into freethinkers, ready to thrive in a modern economy, but self-governing citizens, ready to lead both themselves and their communities.",,,NewSchools Venture Fund
Nominator_2023-11_Next Generation Learning Challenges_,Nominator_2023-11,,Da Vinci Schools,Los Angeles,CA,"DaVinci Schools take a completely student-centered approach across all of their models, both on-campus and hybrid. Learning is purposeful, experiential, rigorous, and engaging. They have developed a strong community within each school, supported by deep relationships among students and teachers alike. They have a tremendous learning mentality -- they are ceaselessly seeking to improve, when already they provide a learning and developmental experience to kids that should be a model for the entire nation.",,,Next Generation Learning Challenges
Nominator_2022-11_North Dakota Department of Public Instruction_,Nominator_2022-11,,West Fargo,West Fargo,North Dakota,"West Fargo is focused on becoming a more equitable system by leveraging personalized learning practices at the classroom, building and district levels",,,North Dakota Department of Public Instruction
Nominator_2022-11_Revolution School_,Nominator_2022-11,,Field 10,Philadelphia,Pennsylvania,"Revolution is not just an innovative new high school. We are also a diverse network of collaborators engaging in educational change. Our goals are to expand learning choices in schools to ensure opportunity readiness for all to improve diversity, equity and inclusion in education and the future of work.

School innovation requires a coalition. Revolution School executes a new high school model designed to unleash the learning that happens when students and communities come together to listen, learn and lead.  Our opportunity readiness skill building program designed with and for diverse young people, and paired with an authentic community, ignites the ingenuity we need for both the present and future of work. 

To achieve our goals, we harness the resources of local communities and organizations across Philadelphia and beyond. We aim for those who would otherwise not meet organically to disrupt the silos. We have thus far built a network of over 2000 community members, 200 of whom actively engage in the programming of the Revolution School. 

We closely collaborate with partners to deliver a curriculum that develops skills, habits and dispositions for action. While foundational skills are built through systematic practice, they are internalized when used through purposeful action. 

Instead of sitting in a classroom to learn about democracy, students work with community organizers to get out the vote during an election. Instead of laborious writing exercises, students pitch project ideas and set up informational interviews with community leaders.  Instead of presenting only to peers, students attend meetings with the Streets Department to represent youth voice in debates on bike lanes. These experiences are not extra, they are our program.

Revolution School uniquely connects students across Philadelphia to problem solvers, innovative leaders, and creative thinkers and prepares them to one day step into those roles themselves. 
",,,Anonymous
Nominator_2021-12_Rogers Family Foundation_,Nominator_2021-12,,,Oakland,California,"The Oakland Reach (TOR) consistently strives to provide high quality services to TOR families.  During the pandemic, TOR launched the Virtual Hub, which reimagined public education for families that have been consistently denied access to high quality schools due to racist policies and systems.",,,Anonymous
Nominator_2021-12_Rogers Family Foundation_,Nominator_2021-12,,,Oakland,California,"3Ls Academy is a three pronged approach to change literacy outcomes one neighborhood at a time.  3Ls is an innovative model that involves family on every level, including as a teachers.  The goal of 3Ls is to reinvent the cycle of empowerment, instead of allowing illiteracy and inequality to continue dismantling generations to come.",,,Rogers Family Foundation
Nominator_2022-11_The Center for Learner Equity_,Nominator_2022-11,,Firstline,New Orleans,Louisiana,Firstline schools in New Orleans is a charter network of four schools that also houses a specialized program for students who require specific disability-related services. The network's philosophy emphasizes joy and anti-racism. ,,,The Center for Learner Equity
Nominator_2023-11_Throughline Learning_,Nominator_2023-11,,Central Falls School District,Central Falls,Rhode Island,"In SY22, Central Falls School District, Freedom Dreams, and Throughline Learning collaborated to recruit, train, and hire adults from Central Falls to work part-time as mentors, advisors, and school success coaches for 9th graders who were chronically absent and failing multiple courses — with significant results.

After one year, 67% of participating community educators wanted to stay in the field of education due to their project experiences. Participating students reported a 55% increase in their sense of belonging and an 84% increase in their school engagement; and 100% of participating families agreed that community educators were extremely helpful at supporting their child in school.

“A lot of positive changes have happened from my son joining a pod. He is doing academically better, and he also started getting into sports. He's less combative at home. His grades have improved. Having a male figure to talk to and have conversations that he can't always have with me has been amazing.” — Parent of Student Learning Pod Participant, Central Falls",,,Throughline Learning
Nominator_2021-12_TNTP_,Nominator_2021-12,,Vanguard Academy,"2510 S. Veterans Blvd, Edinburg, TX 78539",Texas,"Vanguard serves a population of students who are majority English language learners and students living in poverty in the Rio Grande Valley and its high schools provide post-secondary educational opportunities to all students, cultivating and preparing students to graduate with a two-year degree, Industry Certification, or college hours from their regional higher education partner: South Texas College. They outpace state averages in outcomes and their students graduate with their AA without having accumulated any college debt. ",,,TNTP
Nominator_2023-11_Transcend_,Nominator_2023-11,,San Francisco Unified School District,San Francisco,CA,"Started in 2010, the Green Academy at Abraham Lincoln High strives to teach students to discover and implement new solutions to environmental issues. Students also participate in outdoor educational challenges to develop confidence and leadership skills.",,,Anonymous
Nominator_2025-10_Transcend_,Nominator_2025-10,,DSST Public Schools,Denver,Colorado,"DSST Public Schools provides rigorous, experiential learning through a competency-based model that combines seven years each of core academics with required internships, senior projects, and personalized college counseling. The network builds a strong community culture around six core values while giving students voice and choice in their learning, resulting in high college persistence and a track record of graduates pursuing STEM fields.",,,Anonymous
Nominator_2024-10_Transcend_,Nominator_2024-10,,"Partnership with Brooks County ISD, Freer ISD, Premont ISD, Agua Dulce ISD, and Benavides ISD",Premont,TX,Rural Schools Innovation Zone implements an innovative model that empowers rural communities to forge sustainable partnerships that allow schools to provide students with a variety of robust college and career pathways that lead to success in school and life.,,,Anonymous
Nominator_2024-10_Transcend_,Nominator_2024-10,,Brookline Public Schools,Brookline,MA,"Brookline High School implements an innovative model, The Calculus Project, which works to accelerate mathematics learning for students furthest from opportunity in order to give them access to higher-level mathematics courses in high school and college. ",,,Anonymous
Nominator_2024-10_Transcend_,Nominator_2024-10,,"Collaborative of Archuleta, Bayfield, Durango, Ignacio, and Silverton Districts",Durango,CO,Southwest Colorado Education Collaborative implements an innovative model that empowers rural communities to forge sustainable partnerships that allow schools to provide students with a variety of robust college and career pathways that lead to success in school and life.,,,Anonymous
Nominator_2024-10_Transcend_,Nominator_2024-10,,"Partnership with Crane ISD, McCamey ISD, and Grandfalls-Royalty ISD",Midland,TX,Permian Basin Innovation Zone implements an innovative model that empowers rural communities to forge sustainable partnerships that allow schools to provide students with a variety of robust college and career pathways that lead to success in school and life.,,,Anonymous
Nominator_2023-11_Transcend_,Nominator_2023-11,,,Birmingham,AL,"Build UP is the nation’s first and only early-college workforce development high school to empower youth with the skills and agency to tackle poverty and urban blight. We provide low-income youth with career-ready skills through paid apprenticeships with industry-aligned secondary and postsecondary academic coursework, leading them to become educated, credentialed, and empowered civic leaders, professionals, and homeowners.",,,Anonymous
Nominator_2019-03_Michigan Virtual_A2 Virtual+ Academy,Nominator_2019-03,A2 Virtual+ Academy,,Ann Arbor,MI,"This school creates a learning environment that is engaging, effective, and empowering for all students.",1,1,Anonymous
Nominator_2019-03_Virginia Department of Education_Academies of Hampton,Nominator_2019-03,Academies of Hampton,,Hampton,VA,"This school creates a learning environment that is engaging, effective, and empowering for all students.",2,2,Anonymous
Nominator_2019-03_NewSchools Venture Fund_The Academy of Advanced Learning,Nominator_2019-03,The Academy of Advanced Learning,,Aurora,CO,"This school creates a learning environment that is engaging, effective, and empowering for all students.",3,3,Anonymous
"Nominator_2022-11_NewSchools Venture Fund_The Academy of Advanced Learning, Academy of Advanced Learning",Nominator_2022-11,"The Academy of Advanced Learning,Academy of Advanced Learning",Third Future Schools,Aurora,CO,"A team of dedicated teachers and leaders, working in a high performance and caring culture, maintains an intense focus on academic achievement and performance outcomes. Students find success and are engaged through personalized learning, which allows students to work at their own pace and learn in a way more suited to their strengths. We hold high expectations for students and staff and believe everyone can create their future.","3, 687","3, 687",NewSchools Venture Fund
Nominator_2019-03_Public Impact_Albemarle Road Elementary School,Nominator_2019-03,Albemarle Road Elementary School,,Charlotte,NC,"This school creates a learning environment that is engaging, effective, and empowering for all students.",4,4,Anonymous
Nominator_2019-03_[Closed] EdTech Specialists_Alpena Career Tech Education Center,Nominator_2019-03,Alpena Career Tech Education Center,,Alpena,MI,"This school creates a learning environment that is engaging, effective, and empowering for all students.",5,5,[Closed] EdTech Specialists
Nominator_2019-03_EL Education_Amana Academy,Nominator_2019-03,Amana Academy,,Alpharetta,GA,"This school creates a learning environment that is engaging, effective, and empowering for all students.",6,6,EL Education
Nominator_2021-12_Mastery Transcript Consortium_American Academy of Innovation,Nominator_2021-12,American Academy of Innovation,N/A,South Jordan,UT,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.,7,7,Mastery Transcript Consortium
Nominator_2023-11_Mastery Transcript Consortium_American Academy of Innovation,Nominator_2023-11,American Academy of Innovation,,South Jordan,UT,This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates.,7,7,Mastery Transcript Consortium
Nominator_2024-10_Mastery Transcript Consortium_American Academy of Innovation,Nominator_2024-10,American Academy of Innovation,,South Jordan,UT,"The school has implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates or supplements the legacy transcript with the MTC Learning Record reporting on ""durable skills) (aka ""portrait of a gradudate"" competencies).",7,7,Mastery Transcript Consortium
Nominator_2019-03_Utah State Board of Education_American Academy of Innovation,Nominator_2019-03,American Academy of Innovation,,South Jordan,UT,"This school creates a learning environment that is engaging, effective, and empowering for all students.",7,7,Utah State Board of Education
Nominator_2019-03_ReSchool Colorado_Anastasis Academy,Nominator_2019-03,Anastasis Academy,,Centennial,CO,"micro school, learning genome cards to personalize learning, independent school so freedom to do things not possible in public schools, great leader",8,8,ReSchool Colorado
Nominator_2019-03_Michigan Department of Education_Armada High School,Nominator_2019-03,Armada High School,,Armada,MI,"This school creates a learning environment that is engaging, effective, and empowering for all students.",9,9,Michigan Department of Education
Nominator_2019-03_Throughline Learning_Asa Messer Elementary School,Nominator_2019-03,Asa Messer Elementary School,,Providence,Rhode Island,"Asa Messer is moving the needle in terms of supporting teachers as they implement a blended and personalized model in their classrooms. Each teacher is supported within one or two coaching cycles throughout the year. Support is offered through either an internal literacy/math coach or an external support partner. These cycles of support are anchored in student data analysis, building plans for grade level teams or individual teachers as they address students varying needs. Another area of focus is the exploration of best practices and strategies to implement. A continuous improvement plan is utilized to help teachers, coaches and administrators analyze if the implemented practice is effectively working. Throughout the community, there is a culture that consistently supports all learners, both students, and adults, at whatever entry point. ",10,10,Anonymous
Nominator_2019-03_Moonshot EdVentures_Aspen Academy,Nominator_2019-03,Aspen Academy,,Greenwood Village,CO,Strong entrepreneurship focus for kids K-8. Kids need to have owned and operated a business before graduation. High focus on financial literacy. Founder is an entrepreneur. Shows what's possible in education.,11,11,Anonymous
Nominator_2020-08_Moonshot EdVentures_Aspen Academy,Nominator_2020-08,Aspen Academy,Private School,Greenwood Village,CO,Entrepreneurial curriculum; students have to have owned and operated a business before graduating in 8th grade; spends time on financial literacy,11,11,Moonshot EdVentures
Nominator_2019-03_Bellwether Education Partners_Aspire Richmond Tech,Nominator_2019-03,Aspire Richmond Tech,,Oakland,CA,"This school creates a learning environment that is engaging, effective, and empowering for all students.",12,12,Anonymous
Nominator_2019-03_Bellwether Education Partners_Atlanta Speech School,Nominator_2019-03,Atlanta Speech School,,Atlanta,GA,"This school creates a learning environment that is engaging, effective, and empowering for all students.",13,13,Anonymous
Nominator_2019-03_Building Blocks Education_Austin Road Elementary School,Nominator_2019-03,Austin Road Elementary School,,Stockbridge,GA,"This school creates a learning environment that is engaging, effective, and empowering for all students.",14,14,Building Blocks Education
Nominator_2019-03_Center for Teaching Quality_Avalon School,Nominator_2019-03,Avalon School,,St. Paul,MN,This is a long-standing teacher-powered school that serves many students who may have a difficult time in traditional school settings. They get amazing student outcomes and focus on the individual learning and social-emotional needs of students.,15,15,Center for Teaching Quality
Nominator_2019-03_Education Evolving_Avalon School,Nominator_2019-03,Avalon School,,St. Paul,MN,"Although Avalon's student body is not racially diverse, the schools attracts many students who were looking for a school environment that supports their well-being (100% of parents and 97% of students say Avalon is a safe and a positive learning environment, and many students are from the LGBT community). They also serve a high needs population, with 36% of Avalon students identified as special education.  Avalon uses a teacher cooperative model. Their teacher team has autonomy in all 15 potential areas and their board has a teacher majority.   The Avalon teacher team chooses to use a self-directed project-based learning program and 360-degree teacher evaluation. They have have very low teacher turnover rates (5.3%). They also take seriously the notion of educating the whole child, and along with traditional assessments use the Hope Survey to assess students' non-academic outcomes, such as self-efficacy, optimism, and problem-solving ability, so the teacher team can evaluate what areas of school design the team needs to adjust in order to better help its students improve these outcomes.  The teacher team believes it is important to model collaborative leadership to their students and therefore decided to make the student body a voting branch of the school government, with students passing bills (for example, on acceptable cell phone and school attendance policies). Teachers secure autonomy via: charter school contract and school bylaws.",15,15,Education Evolving
